127.0.0.1 - - [29/May/2020:17:01:32 +0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [29/May/2020:17:02:43 +0700] "GET /WebNgheNhac/home.htm HTTP/1.1" 200 3964
0:0:0:0:0:0:0:1 - - [29/May/2020:17:02:43 +0700] "GET /WebNgheNhac/public/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2020:17:02:43 +0700] "GET /WebNgheNhac/public/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2020:17:02:43 +0700] "GET /WebNgheNhac/public/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2020:17:02:44 +0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [29/May/2020:17:02:51 +0700] "GET /WebNgheNhac/account.htm?m=login HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [29/May/2020:17:02:51 +0700] "GET /WebNgheNhac/public/css/account.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2020:17:02:55 +0700] "POST /WebNgheNhac/login.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/May/2020:17:02:55 +0700] "GET /WebNgheNhac/home.htm HTTP/1.1" 200 8007
0:0:0:0:0:0:0:1 - - [29/May/2020:17:02:55 +0700] "GET /WebNgheNhac/public/img/heart-solid.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2020:17:02:55 +0700] "GET /WebNgheNhac/public/img/play.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2020:17:08:29 +0700] "GET /WebNgheNhac/home.htm HTTP/1.1" 200 8087
0:0:0:0:0:0:0:1 - - [29/May/2020:17:09:13 +0700] "GET /WebNgheNhac/home.htm HTTP/1.1" 200 8024
0:0:0:0:0:0:0:1 - - [29/May/2020:17:09:15 +0700] "GET /WebNgheNhac/upload.htm HTTP/1.1" 200 4061
0:0:0:0:0:0:0:1 - - [29/May/2020:17:09:16 +0700] "GET /WebNgheNhac/logout.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/May/2020:17:09:16 +0700] "GET /WebNgheNhac/home.htm HTTP/1.1" 200 3981
0:0:0:0:0:0:0:1 - - [29/May/2020:17:17:54 +0700] "GET /WebNgheNhac/home.htm HTTP/1.1" 200 4033
0:0:0:0:0:0:0:1 - - [29/May/2020:17:18:36 +0700] "GET /WebNgheNhac/home.htm HTTP/1.1" 200 3657
0:0:0:0:0:0:0:1 - - [29/May/2020:17:18:40 +0700] "GET /WebNgheNhac/account.htm?m=login HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [29/May/2020:17:18:43 +0700] "POST /WebNgheNhac/login.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/May/2020:17:18:43 +0700] "GET /WebNgheNhac/home.htm HTTP/1.1" 200 7251
0:0:0:0:0:0:0:1 - - [29/May/2020:17:19:27 +0700] "GET /WebNgheNhac/home.htm HTTP/1.1" 200 7347
