127.0.0.1 - - [19/May/2020:13:20:15 +0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [19/May/2020:13:20:16 +0700] "GET /DoAnWebNgheNhac/ HTTP/1.1" 200 288
0:0:0:0:0:0:0:1 - - [19/May/2020:13:21:22 +0700] "GET /DoAnWebNgheNhac/home.htm HTTP/1.1" 200 3085
0:0:0:0:0:0:0:1 - - [19/May/2020:13:21:22 +0700] "GET /DoAnWebNgheNhac/public/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2020:13:21:22 +0700] "GET /DoAnWebNgheNhac/public/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2020:13:21:22 +0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [19/May/2020:13:26:03 +0700] "GET /DoAnWebNgheNhac/account.htm?m=login HTTP/1.1" 200 860
0:0:0:0:0:0:0:1 - - [19/May/2020:13:26:14 +0700] "POST /DoAnWebNgheNhac/login.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/May/2020:13:26:14 +0700] "GET /DoAnWebNgheNhac/home.htm HTTP/1.1" 200 4051
0:0:0:0:0:0:0:1 - - [19/May/2020:13:26:14 +0700] "GET /DoAnWebNgheNhac/public/img/heart-solid.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2020:13:27:08 +0700] "GET /DoAnWebNgheNhac/upload.htm HTTP/1.1" 200 3630
0:0:0:0:0:0:0:1 - - [19/May/2020:13:27:25 +0700] "POST /DoAnWebNgheNhac/upload.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/May/2020:13:27:25 +0700] "GET /DoAnWebNgheNhac/upload.htm HTTP/1.1" 200 3630
0:0:0:0:0:0:0:1 - - [19/May/2020:13:27:30 +0700] "GET /DoAnWebNgheNhac/home.htm HTTP/1.1" 200 4744
0:0:0:0:0:0:0:1 - - [19/May/2020:13:27:41 +0700] "POST /DoAnWebNgheNhac/addtolovepl.htm HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [19/May/2020:13:27:42 +0700] "POST /DoAnWebNgheNhac/addtolovepl.htm HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [19/May/2020:13:27:43 +0700] "POST /DoAnWebNgheNhac/addtolovepl.htm HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [19/May/2020:13:27:44 +0700] "POST /DoAnWebNgheNhac/addtolovepl.htm HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [19/May/2020:13:27:45 +0700] "POST /DoAnWebNgheNhac/addtolovepl.htm HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [19/May/2020:13:27:45 +0700] "POST /DoAnWebNgheNhac/addtolovepl.htm HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [19/May/2020:13:27:46 +0700] "POST /DoAnWebNgheNhac/addtolovepl.htm HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [19/May/2020:13:27:48 +0700] "POST /DoAnWebNgheNhac/addtolovepl.htm HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [19/May/2020:13:27:49 +0700] "POST /DoAnWebNgheNhac/addtolovepl.htm HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [19/May/2020:13:27:49 +0700] "POST /DoAnWebNgheNhac/addtolovepl.htm HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [19/May/2020:13:27:50 +0700] "POST /DoAnWebNgheNhac/addtolovepl.htm HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [19/May/2020:13:27:50 +0700] "POST /DoAnWebNgheNhac/addtolovepl.htm HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [19/May/2020:13:27:50 +0700] "POST /DoAnWebNgheNhac/addtolovepl.htm HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [19/May/2020:13:27:50 +0700] "POST /DoAnWebNgheNhac/addtolovepl.htm HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [19/May/2020:13:27:50 +0700] "POST /DoAnWebNgheNhac/addtolovepl.htm HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [19/May/2020:13:27:51 +0700] "POST /DoAnWebNgheNhac/addtolovepl.htm HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [19/May/2020:13:27:51 +0700] "POST /DoAnWebNgheNhac/addtolovepl.htm HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [19/May/2020:13:27:51 +0700] "POST /DoAnWebNgheNhac/addtolovepl.htm HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [19/May/2020:13:27:51 +0700] "POST /DoAnWebNgheNhac/addtolovepl.htm HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [19/May/2020:13:27:52 +0700] "POST /DoAnWebNgheNhac/addtolovepl.htm HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [19/May/2020:13:27:56 +0700] "GET /DoAnWebNgheNhac/playlist.htm HTTP/1.1" 200 3490
0:0:0:0:0:0:0:1 - - [19/May/2020:13:28:00 +0700] "POST /DoAnWebNgheNhac/delplaylist.htm HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [19/May/2020:13:28:01 +0700] "POST /DoAnWebNgheNhac/delplaylist.htm HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [19/May/2020:14:18:45 +0700] "GET /DoAnWebNgheNhac/home.htm HTTP/1.1" 200 3300
0:0:0:0:0:0:0:1 - - [19/May/2020:14:18:59 +0700] "GET /DoAnWebNgheNhac/account.htm?m=register HTTP/1.1" 200 1071
0:0:0:0:0:0:0:1 - - [19/May/2020:14:19:16 +0700] "POST /DoAnWebNgheNhac/register.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/May/2020:14:19:16 +0700] "GET /DoAnWebNgheNhac/userlist.htm HTTP/1.1" 200 940
0:0:0:0:0:0:0:1 - - [19/May/2020:14:19:25 +0700] "GET /DoAnWebNgheNhac/home.htm HTTP/1.1" 200 3300
0:0:0:0:0:0:0:1 - - [19/May/2020:14:19:28 +0700] "GET /DoAnWebNgheNhac/account.htm?m=login HTTP/1.1" 200 860
0:0:0:0:0:0:0:1 - - [19/May/2020:14:19:35 +0700] "POST /DoAnWebNgheNhac/login.htm HTTP/1.1" 500 5303
0:0:0:0:0:0:0:1 - - [19/May/2020:14:19:58 +0700] "GET /DoAnWebNgheNhac/logout.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/May/2020:14:19:58 +0700] "GET /DoAnWebNgheNhac/home.htm HTTP/1.1" 200 3300
0:0:0:0:0:0:0:1 - - [19/May/2020:14:20:13 +0700] "GET /DoAnWebNgheNhac/account.htm?m=login HTTP/1.1" 200 860
